STT,Animation,Type,Keywords,CSS Keyframes,Tailwind Config,Duration,Easing,Best For,Notes
1,Fade In,Entrance,"fade, appear","@keyframes fadeIn { from { opacity: 0; } to { opacity: 1; } }","animate-fade-in","0.3-0.5s","ease-out",General content,Simple and universal
2,Fade In Up,Entrance,"fade, up, slide","@keyframes fadeInUp { from { opacity: 0; transform: translateY(20px); } to { opacity: 1; transform: translateY(0); } }","animate-fade-in-up","0.4-0.6s","ease-out",Sections cards,Most popular entrance
3,Fade In Down,Entrance,"fade, down","@keyframes fadeInDown { from { opacity: 0; transform: translateY(-20px); } to { opacity: 1; transform: translateY(0); } }","animate-fade-in-down","0.4-0.6s","ease-out",Dropdowns tooltips,Top-down reveal
4,Fade In Left,Entrance,"fade, left","@keyframes fadeInLeft { from { opacity: 0; transform: translateX(-20px); } to { opacity: 1; transform: translateX(0); } }","animate-fade-in-left","0.4-0.6s","ease-out",Sidebars panels,Side reveal
5,Fade In Right,Entrance,"fade, right","@keyframes fadeInRight { from { opacity: 0; transform: translateX(20px); } to { opacity: 1; transform: translateX(0); } }","animate-fade-in-right","0.4-0.6s","ease-out",Notifications,Side reveal
6,Scale In,Entrance,"scale, pop, zoom","@keyframes scaleIn { from { opacity: 0; transform: scale(0.9); } to { opacity: 1; transform: scale(1); } }","animate-scale-in","0.2-0.4s","ease-out",Modals popovers,Quick and snappy
7,Scale In Center,Entrance,"scale, center","@keyframes scaleInCenter { from { opacity: 0; transform: scale(0); } to { opacity: 1; transform: scale(1); } }","animate-scale-in-center","0.3-0.5s","cubic-bezier(0.34, 1.56, 0.64, 1)",Badges icons,Bounce scale
8,Slide In Up,Entrance,"slide, up","@keyframes slideInUp { from { transform: translateY(100%); } to { transform: translateY(0); } }","animate-slide-in-up","0.3-0.5s","ease-out",Bottom sheets,Mobile patterns
9,Slide In Down,Entrance,"slide, down","@keyframes slideInDown { from { transform: translateY(-100%); } to { transform: translateY(0); } }","animate-slide-in-down","0.3-0.5s","ease-out",Dropdowns,Top reveal
10,Slide In Left,Entrance,"slide, left","@keyframes slideInLeft { from { transform: translateX(-100%); } to { transform: translateX(0); } }","animate-slide-in-left","0.3-0.5s","ease-out",Sidebars drawers,Side panels
11,Slide In Right,Entrance,"slide, right","@keyframes slideInRight { from { transform: translateX(100%); } to { transform: translateX(0); } }","animate-slide-in-right","0.3-0.5s","ease-out",Side panels,Drawers
12,Bounce In,Entrance,"bounce, playful","@keyframes bounceIn { 0% { transform: scale(0); } 50% { transform: scale(1.15); } 100% { transform: scale(1); } }","animate-bounce-in","0.5-0.7s","cubic-bezier(0.68, -0.55, 0.265, 1.55)",Success states,Playful UI
13,Rotate In,Entrance,"rotate, spin","@keyframes rotateIn { from { opacity: 0; transform: rotate(-180deg); } to { opacity: 1; transform: rotate(0); } }","animate-rotate-in","0.4-0.6s","ease-out",Icons badges,Attention
14,Flip In X,Entrance,"flip, 3d, x","@keyframes flipInX { from { opacity: 0; transform: perspective(400px) rotateX(90deg); } to { opacity: 1; transform: perspective(400px) rotateX(0); } }","animate-flip-in-x","0.5-0.7s","ease-out",Cards reveals,3D effect
15,Flip In Y,Entrance,"flip, 3d, y","@keyframes flipInY { from { opacity: 0; transform: perspective(400px) rotateY(90deg); } to { opacity: 1; transform: perspective(400px) rotateY(0); } }","animate-flip-in-y","0.5-0.7s","ease-out",Card flips,3D rotation
16,Fade Out,Exit,"fade, disappear","@keyframes fadeOut { from { opacity: 1; } to { opacity: 0; } }","animate-fade-out","0.2-0.3s","ease-in",All exits,Simple exit
17,Fade Out Down,Exit,"fade, down, exit","@keyframes fadeOutDown { from { opacity: 1; transform: translateY(0); } to { opacity: 0; transform: translateY(20px); } }","animate-fade-out-down","0.2-0.4s","ease-in",Toasts,Dismiss down
18,Fade Out Up,Exit,"fade, up, exit","@keyframes fadeOutUp { from { opacity: 1; transform: translateY(0); } to { opacity: 0; transform: translateY(-20px); } }","animate-fade-out-up","0.2-0.4s","ease-in",Notifications,Dismiss up
19,Scale Out,Exit,"scale, shrink","@keyframes scaleOut { from { opacity: 1; transform: scale(1); } to { opacity: 0; transform: scale(0.9); } }","animate-scale-out","0.2-0.3s","ease-in",Modals,Quick exit
20,Slide Out Right,Exit,"slide, right, exit","@keyframes slideOutRight { from { transform: translateX(0); } to { transform: translateX(100%); } }","animate-slide-out-right","0.2-0.4s","ease-in",Drawers,Side exit
21,Pulse,Attention,"pulse, beat","@keyframes pulse { 0%, 100% { transform: scale(1); } 50% { transform: scale(1.05); } }","animate-pulse","1-2s","ease-in-out",CTAs,Infinite loop
22,Bounce,Attention,"bounce, jump","@keyframes bounce { 0%, 100% { transform: translateY(0); } 50% { transform: translateY(-15px); } }","animate-bounce","1s","ease-in-out",Scroll indicators,Down arrows
23,Shake,Attention,"shake, error","@keyframes shake { 0%, 100% { transform: translateX(0); } 25% { transform: translateX(-5px); } 75% { transform: translateX(5px); } }","animate-shake","0.3-0.5s","ease-in-out",Error states,Form validation
24,Wobble,Attention,"wobble, wave","@keyframes wobble { 0% { transform: rotate(0); } 25% { transform: rotate(-5deg); } 75% { transform: rotate(5deg); } 100% { transform: rotate(0); } }","animate-wobble","0.8-1s","ease-in-out",Notifications,Playful attention
25,Ping,Attention,"ping, ripple","@keyframes ping { 0% { transform: scale(1); opacity: 1; } 100% { transform: scale(2); opacity: 0; } }","animate-ping","1-1.5s","cubic-bezier(0, 0, 0.2, 1)",Status indicators,Live badges
26,Spin,Loading,"spin, rotate","@keyframes spin { from { transform: rotate(0deg); } to { transform: rotate(360deg); } }","animate-spin","0.8-1.2s","linear",Loaders,Continuous
27,Pulse Fade,Loading,"pulse, fade","@keyframes pulseFade { 0%, 100% { opacity: 1; } 50% { opacity: 0.5; } }","animate-pulse","1.5-2s","ease-in-out",Skeleton,Loading states
28,Dots Loading,Loading,"dots, sequence","@keyframes dotsLoading { 0%, 80%, 100% { transform: scale(0); } 40% { transform: scale(1); } }","","0.6s per dot","ease-in-out",Loading dots,3 dots stagger
29,Bar Loading,Loading,"bar, progress","@keyframes barLoading { 0% { width: 0; } 100% { width: 100%; } }","","1-3s","ease-out",Progress bars,Determinate
30,Float,Ambient,"float, hover","@keyframes float { 0%, 100% { transform: translateY(0); } 50% { transform: translateY(-10px); } }","animate-float","3-4s","ease-in-out",Hero elements,Subtle movement
31,Sway,Ambient,"sway, gentle","@keyframes sway { 0%, 100% { transform: rotate(-2deg); } 50% { transform: rotate(2deg); } }","animate-sway","4-6s","ease-in-out",Decorative,Plants icons
32,Breathe,Ambient,"breathe, scale","@keyframes breathe { 0%, 100% { transform: scale(1); } 50% { transform: scale(1.03); } }","animate-breathe","4-6s","ease-in-out",Calm UI,Wellness apps
33,Glow Pulse,Ambient,"glow, pulse","@keyframes glowPulse { 0%, 100% { box-shadow: 0 0 5px rgba(139,92,246,0.3); } 50% { box-shadow: 0 0 20px rgba(139,92,246,0.6); } }","animate-glow-pulse","2-3s","ease-in-out",Active states,Neon themes
34,Gradient Flow,Ambient,"gradient, flow","@keyframes gradientFlow { 0% { background-position: 0% 50%; } 50% { background-position: 100% 50%; } 100% { background-position: 0% 50%; } }","animate-gradient","10-15s","ease",Backgrounds,Slow movement
35,Shimmer,Ambient,"shimmer, shine","@keyframes shimmer { 0% { background-position: -200% 0; } 100% { background-position: 200% 0; } }","animate-shimmer","1.5-2s","linear",Skeletons,Loading shine
36,Typewriter,Text,"typing, cursor","@keyframes typewriter { from { width: 0; } to { width: 100%; } }","animate-typewriter","2-4s","steps(N)",Hero text,Set N to char count
37,Reveal Text,Text,"reveal, mask","@keyframes revealText { from { clip-path: inset(0 100% 0 0); } to { clip-path: inset(0 0 0 0); } }","animate-reveal","0.8-1.2s","ease-out",Headlines,Left to right
38,Blur In,Text,"blur, focus","@keyframes blurIn { from { filter: blur(10px); opacity: 0; } to { filter: blur(0); opacity: 1; } }","animate-blur-in","0.4-0.6s","ease-out",Hero text,Dramatic reveal
39,Letter Spacing,Text,"tracking, spread","@keyframes letterSpacing { from { letter-spacing: -0.5em; opacity: 0; } to { letter-spacing: normal; opacity: 1; } }","animate-letter-space","0.6-1s","ease-out",Headlines,Premium feel
40,Count Up,Text,"count, numbers","Use countUp.js or JS requestAnimationFrame","","0.5-2s","ease-out",Statistics,JS implementation
41,Morph Shape,Special,"morph, blob","@keyframes morph { 0%, 100% { border-radius: 60% 40% 30% 70% / 60% 30% 70% 40%; } 50% { border-radius: 30% 60% 70% 40% / 50% 60% 30% 60%; } }","animate-morph","8-12s","ease-in-out",Background blobs,Abstract deco
42,Parallax,Special,"parallax, scroll","transform: translateY(calc(var(--scroll) * rate));","","scroll-based","linear",Hero layers,JS scroll tracking
43,Stagger,Special,"stagger, sequence","animation-delay: calc(var(--i) * 100ms);","","varies","ease-out",Lists grids,CSS variable index
44,Path Draw,Special,"path, svg, draw","@keyframes pathDraw { to { stroke-dashoffset: 0; } }","animate-draw","1-3s","ease-out",Icons logos,SVG stroke
45,Confetti,Special,"confetti, celebration","Complex keyframes with random transforms","","1-2s","ease-out",Success,Use library
46,Sticky Parallax,Scroll,"sticky, parallax","position: sticky; top: 0;","sticky top-0 h-screen",Scroll-driven,Framer classic pattern
47,Marquee Scroll,Scroll,"marquee, ticker","animation: marquee 20s linear infinite;","animate-marquee",Continuous flow,Logo walls
48,Text Reveal Split,Text,"reveal, split","overflow: hidden; span { transform: translateY(100%); transition: transform 0.5s; }","group-hover:translate-y-0",Headlines,Letter by letter reveal
49,Image Reveal Mask,Image,"reveal, mask","clip-path: inset(0 100% 0 0); transition: clip-path 1s cubic-bezier(0.77, 0, 0.175, 1);","transition-[clip-path] duration-1000 ease-in-out",Gallery,Scroll trigger
50,Magnetic Button,Hover,"magnetic, attract","transform: translate(var(--mx), var(--my));","transition-transform duration-100 ease-linear",Buttons,Sticky cursor effect
51,Cursor Follower,Special,"cursor, follower","position: fixed; pointer-events: none; transform: translate(-50%, -50%);","fixed w-8 h-8 rounded-full border border-black",Interactive,Custom cursor
52,Scroll Progress Line,Scroll,"progress, reading","width: var(--scroll-percent);","fixed top-0 left-0 h-1 bg-primary z-50",Blog posts,Reading indicator
53,Card 3D Tilt,Hover,"tilt, 3d","transform: perspective(1000px) rotateX(var(--rx)) rotateY(var(--ry));","transition-transform duration-300 ease-out",Feature Cards,Mouse tracking
54,Stack Cards,Scroll,"stack, cards","position: sticky; top: var(--top);","sticky top-[10vh]",Portfolio,Framer stack effect
55,Video Reveal,Scroll,"video, expand","width: var(--width); border-radius: var(--radius);","w-full transition-all duration-700",Hero Section,Scroll to expand
