STT,Component,Variant,Keywords,HTML Structure,Tailwind Classes,Best For,Notes
1,Hero,Centered,"hero, centered, simple, minimal","<section class='hero-centered'><div class='container'><h1>Title</h1><p>Subtitle</p><div class='cta-group'><button>Primary</button><button>Secondary</button></div></div></section>","min-h-screen flex items-center justify-center text-center px-4, container: max-w-4xl mx-auto, h1: text-4xl md:text-6xl font-bold mb-6, p: text-xl text-gray-600 mb-8, cta-group: flex gap-4 justify-center","Landing pages, SaaS, portfolios",Clean and focused
2,Hero,Split Image,"hero, split, image, product","<section class='hero-split'><div class='grid'><div class='content'><h1>Title</h1><p>Description</p><button>CTA</button></div><div class='image'><img src='' alt=''/></div></div></section>","min-h-screen grid md:grid-cols-2 items-center gap-8 px-4, content: space-y-6, h1: text-4xl md:text-5xl font-bold, p: text-lg text-gray-600, image: relative aspect-square md:aspect-auto","Product launches, e-commerce, apps",Image on right by default
3,Hero,Video Background,"hero, video, immersive, fullscreen","<section class='hero-video'><video autoplay muted loop playsinline><source src='' type='video/mp4'/></video><div class='overlay'></div><div class='content'><h1>Title</h1><p>Subtitle</p></div></section>","relative min-h-screen overflow-hidden, video: absolute inset-0 w-full h-full object-cover, overlay: absolute inset-0 bg-black/50, content: relative z-10 flex items-center justify-center min-h-screen text-white text-center","Entertainment, luxury, events",Ensure video is optimized
4,Hero,Gradient Animated,"hero, gradient, animated, modern","<section class='hero-gradient'><div class='bg-gradient'></div><div class='content'><h1>Title</h1></div></section>","relative min-h-screen overflow-hidden, bg-gradient: absolute inset-0 bg-gradient-to-br from-purple-600 via-pink-500 to-orange-400 animate-gradient-xy, content: relative z-10","Tech startups, creative, modern",Use CSS animation for gradient movement
5,Hero,3D Floating,"hero, 3d, floating, depth","<section class='hero-3d'><div class='floating-cards'><div class='card'></div></div><div class='content'><h1>Title</h1></div></section>","relative min-h-screen perspective-1000, floating-cards: absolute inset-0, card: transform rotate-y-12 rotate-x-6 hover:rotate-0 transition-transform duration-500","SaaS, dashboards, tech products",Add multiple floating elements
6,Navbar,Floating Glass,"navbar, floating, glass, modern","<nav class='navbar-glass'><div class='container'><a class='logo'>Logo</a><ul class='nav-links'><li><a>Link</a></li></ul><button>CTA</button></div></nav>","fixed top-4 left-4 right-4 z-50 backdrop-blur-xl bg-white/80 dark:bg-gray-900/80 rounded-2xl border border-white/20 shadow-lg, container: flex items-center justify-between px-6 py-3 max-w-7xl mx-auto","Modern SaaS, portfolios, agencies",Add scroll behavior for transparency change
7,Navbar,Minimal,"navbar, minimal, clean, simple","<nav class='navbar-minimal'><div class='container'><a class='logo'>Logo</a><ul class='nav-links'><li><a>Link</a></li></ul></div></nav>","sticky top-0 z-50 bg-white dark:bg-gray-900 border-b border-gray-200, container: flex items-center justify-between px-6 py-4 max-w-7xl mx-auto","Documentation, blogs, simple sites",Clean and functional
8,Navbar,Mega Menu,"navbar, mega, enterprise, complex","<nav class='navbar-mega'><div class='container'><a class='logo'>Logo</a><ul class='nav-links'><li class='has-mega'><a>Products</a><div class='mega-panel'></div></li></ul></div></nav>","relative z-50 bg-white shadow-sm, mega-panel: absolute left-0 right-0 top-full bg-white shadow-xl p-8 grid grid-cols-4 gap-8 opacity-0 invisible group-hover:opacity-100 group-hover:visible transition-all","Enterprise, SaaS with multiple products",Use group hover for mega menu
9,Card,Glass,"card, glass, modern, blur","<div class='card-glass'><div class='icon'></div><h3>Title</h3><p>Description</p></div>","backdrop-blur-xl bg-white/10 dark:bg-white/5 rounded-2xl p-6 border border-white/20 hover:bg-white/20 transition-all duration-300","Modern dashboards, dark themes, overlay content",Needs vibrant background
10,Card,Elevated,"card, elevated, shadow, clean","<div class='card-elevated'><img src='' alt=''/><div class='content'><h3>Title</h3><p>Description</p></div></div>","bg-white dark:bg-gray-800 rounded-xl shadow-lg hover:shadow-2xl hover:-translate-y-1 transition-all duration-300 overflow-hidden","E-commerce, portfolios, blogs",Classic elevated style
11,Card,Bordered,"card, bordered, minimal, clean","<div class='card-bordered'><h3>Title</h3><p>Description</p></div>","bg-white dark:bg-gray-900 rounded-xl border-2 border-gray-200 dark:border-gray-700 p-6 hover:border-primary-500 transition-colors","Pricing, features, documentation",Subtle and professional
12,Card,Gradient Border,"card, gradient, border, modern","<div class='card-gradient-border'><div class='inner'><h3>Title</h3><p>Description</p></div></div>","relative p-[2px] rounded-xl bg-gradient-to-r from-purple-500 via-pink-500 to-orange-500, inner: bg-white dark:bg-gray-900 rounded-xl p-6","Featured items, CTAs, highlights",Eye-catching for important content
13,Card,Neumorphic,"card, neumorphic, soft, depth","<div class='card-neumorphic'><h3>Title</h3><p>Description</p></div>","bg-gray-100 dark:bg-gray-800 rounded-2xl p-6 shadow-[8px_8px_16px_#d1d5db,-8px_-8px_16px_#ffffff] dark:shadow-[8px_8px_16px_#1f2937,-8px_-8px_16px_#374151]","Wellness, soft UI, minimal apps",Works best on neutral backgrounds
14,Card,Bento,"card, bento, grid, apple","<div class='bento-grid'><div class='bento-item large'></div><div class='bento-item'></div><div class='bento-item'></div><div class='bento-item wide'></div></div>","grid grid-cols-2 md:grid-cols-4 gap-4, bento-item: bg-gray-100 dark:bg-gray-800 rounded-2xl p-6, large: col-span-2 row-span-2, wide: col-span-2","Dashboards, feature showcases, Apple-style",Varying sizes create visual interest
15,Button,Primary Gradient,"button, gradient, primary, bold","<button class='btn-primary-gradient'>Get Started</button>","bg-gradient-to-r from-purple-600 to-pink-600 hover:from-purple-700 hover:to-pink-700 text-white font-semibold px-8 py-3 rounded-xl shadow-lg hover:shadow-xl transition-all duration-300","Primary CTAs, signups, purchases",High visibility action
16,Button,Outline Glow,"button, outline, glow, hover","<button class='btn-outline-glow'>Learn More</button>","border-2 border-primary-500 text-primary-500 hover:bg-primary-500 hover:text-white px-8 py-3 rounded-xl transition-all duration-300 hover:shadow-[0_0_20px_rgba(var(--primary),0.5)]","Secondary CTAs, learn more",Subtle with impressive hover
17,Button,Icon Left,"button, icon, action","<button class='btn-icon'><svg></svg>Start Free Trial</button>","inline-flex items-center gap-2 bg-primary-500 hover:bg-primary-600 text-white font-semibold px-6 py-3 rounded-xl transition-colors","Action buttons with context",Icon provides visual cue
18,Button,Pill,"button, pill, rounded, soft","<button class='btn-pill'>Subscribe</button>","bg-primary-500 hover:bg-primary-600 text-white font-medium px-8 py-2 rounded-full transition-colors","Tags, categories, soft actions",Friendly and approachable
19,Footer,Mega Footer,"footer, mega, links, enterprise","<footer><div class='container'><div class='grid'><div class='brand'><img/><p></p></div><div class='links'><h4>Product</h4><ul><li><a>Link</a></li></ul></div></div><div class='bottom'><p>Copyright</p><div class='social'></div></div></div></footer>","bg-gray-900 text-gray-300 py-16, container: max-w-7xl mx-auto px-4, grid: grid md:grid-cols-5 gap-8 mb-12, brand: col-span-2, links h4: text-white font-semibold mb-4, bottom: border-t border-gray-800 pt-8 flex justify-between items-center","Enterprise, SaaS, complex sites",Comprehensive footer with all links
20,Footer,Minimal,"footer, minimal, simple, clean","<footer><div class='container'><p>© 2024 Brand. All rights reserved.</p><div class='links'><a>Privacy</a><a>Terms</a></div></div></footer>","bg-gray-50 dark:bg-gray-900 py-8 border-t, container: max-w-7xl mx-auto px-4 flex flex-col md:flex-row justify-between items-center gap-4, links: flex gap-6","Minimal sites, portfolios, blogs",Clean and simple
21,Footer,CTA Footer,"footer, cta, newsletter, conversion","<footer><div class='cta-section'><h2>Ready to get started?</h2><form><input placeholder='Email'/><button>Subscribe</button></form></div><div class='links-section'></div></footer>","bg-gradient-to-b from-gray-900 to-black text-white, cta-section: py-20 text-center max-w-2xl mx-auto, h2: text-3xl font-bold mb-8, form: flex gap-2 justify-center","Lead generation, newsletters",Footer with conversion focus
22,Section,Features Grid,"section, features, grid, icons","<section><div class='container'><h2>Features</h2><div class='grid'><div class='feature'><div class='icon'></div><h3>Title</h3><p>Description</p></div></div></div></section>","py-20 bg-gray-50 dark:bg-gray-900, container: max-w-7xl mx-auto px-4, h2: text-3xl font-bold text-center mb-16, grid: grid md:grid-cols-3 gap-8, feature: text-center p-6, icon: w-12 h-12 mx-auto mb-4 text-primary-500","SaaS features, benefits, services",Classic feature showcase
23,Section,Testimonials Carousel,"section, testimonials, carousel, social-proof","<section><div class='container'><h2>What our customers say</h2><div class='carousel'><div class='testimonial'><p class='quote'></p><div class='author'><img/><div><strong>Name</strong><span>Title</span></div></div></div></div></div></section>","py-20 bg-white dark:bg-gray-800, h2: text-3xl font-bold text-center mb-16, testimonial: bg-gray-50 dark:bg-gray-900 rounded-2xl p-8 max-w-2xl mx-auto, quote: text-xl italic mb-6, author: flex items-center gap-4","Social proof, trust building",Add navigation dots/arrows
24,Section,Stats Counter,"section, stats, numbers, impact","<section><div class='container'><div class='grid'><div class='stat'><span class='number'>100+</span><span class='label'>Customers</span></div></div></div></section>","py-16 bg-primary-500 text-white, grid: grid grid-cols-2 md:grid-cols-4 gap-8 text-center, number: text-4xl md:text-5xl font-bold block, label: text-sm opacity-80","Showcasing achievements, trust",Use countUp animation
25,Section,CTA Banner,"section, cta, banner, conversion","<section><div class='container'><div class='cta-card'><h2>Ready to start?</h2><p>Description</p><div class='buttons'><button>Primary</button><button>Secondary</button></div></div></div></section>","py-20, cta-card: bg-gradient-to-r from-purple-600 to-pink-600 rounded-3xl p-12 text-white text-center max-w-4xl mx-auto, h2: text-3xl font-bold mb-4, buttons: flex gap-4 justify-center mt-8","Conversion sections, upgrades",High visibility call to action
26,Section,Pricing Cards,"section, pricing, plans, tiers","<section><div class='container'><h2>Pricing</h2><div class='grid'><div class='plan'><h3>Basic</h3><p class='price'>$9</p><ul><li>Feature 1</li></ul><button>Get Started</button></div></div></div></section>","py-20, grid: grid md:grid-cols-3 gap-8 max-w-5xl mx-auto, plan: bg-white dark:bg-gray-800 rounded-2xl p-8 border-2 border-gray-200 hover:border-primary-500 transition-colors, plan.featured: border-primary-500 scale-105 shadow-xl, price: text-4xl font-bold my-4","SaaS pricing, plans comparison",Highlight recommended plan
27,Section,FAQ Accordion,"section, faq, accordion, questions","<section><div class='container'><h2>FAQ</h2><div class='accordion'><details><summary>Question?</summary><p>Answer</p></details></div></div></section>","py-20, h2: text-3xl font-bold text-center mb-16, accordion: max-w-3xl mx-auto space-y-4, details: bg-white dark:bg-gray-800 rounded-xl border border-gray-200, summary: p-6 cursor-pointer font-semibold hover:text-primary-500, details[open] summary: text-primary-500, p: px-6 pb-6","Support pages, product info",Native HTML accordion
28,Section,Logo Cloud,"section, logos, trust, partners","<section><div class='container'><p>Trusted by</p><div class='logos'><img src='' alt=''/></div></div></section>","py-12 bg-gray-50 dark:bg-gray-900, p: text-center text-gray-500 mb-8, logos: flex flex-wrap justify-center items-center gap-8 md:gap-16, img: h-8 opacity-50 hover:opacity-100 grayscale hover:grayscale-0 transition-all","Trust signals, partnerships",Keep logos uniform height
29,Section,Timeline,"section, timeline, history, process","<section><div class='container'><h2>Our Journey</h2><div class='timeline'><div class='item'><div class='dot'></div><div class='content'><h3>2020</h3><p>Description</p></div></div></div></div></section>","py-20, timeline: relative max-w-3xl mx-auto, timeline::before: absolute left-4 md:left-1/2 top-0 bottom-0 w-0.5 bg-gray-200, item: relative flex gap-8 mb-8, dot: absolute left-4 md:left-1/2 w-4 h-4 rounded-full bg-primary-500 -translate-x-1/2","About pages, process, history",Alternate left/right on desktop
30,Section,Team Grid,"section, team, people, about","<section><div class='container'><h2>Our Team</h2><div class='grid'><div class='member'><img/><h3>Name</h3><p>Role</p><div class='social'></div></div></div></div></section>","py-20, grid: grid grid-cols-2 md:grid-cols-4 gap-8, member: text-center, img: w-32 h-32 rounded-full mx-auto mb-4 object-cover, h3: font-semibold, p: text-gray-500 text-sm, social: flex justify-center gap-2 mt-2","About pages, team showcase",Add hover effects on images
31,Modal,Centered,"modal, centered, popup, dialog","<div class='modal-overlay'><div class='modal'><button class='close'>×</button><div class='content'></div></div></div>","modal-overlay: fixed inset-0 z-50 bg-black/50 backdrop-blur-sm flex items-center justify-center p-4, modal: bg-white dark:bg-gray-800 rounded-2xl max-w-lg w-full max-h-[90vh] overflow-auto shadow-2xl, close: absolute top-4 right-4","Dialogs, confirmations, forms",Add enter/exit animations
32,Modal,Side Panel,"modal, side, panel, drawer","<div class='modal-overlay'><div class='panel'><div class='header'><h2>Title</h2><button class='close'>×</button></div><div class='content'></div></div></div>","modal-overlay: fixed inset-0 z-50 bg-black/50, panel: fixed right-0 top-0 bottom-0 w-full max-w-md bg-white dark:bg-gray-800 shadow-2xl transform transition-transform, header: flex justify-between items-center p-6 border-b","Settings, filters, mobile nav",Slide in from right
33,Form,Modern Input,"form, input, modern, floating","<div class='form-group'><input id='email' placeholder=' '/><label for='email'>Email</label></div>","form-group: relative, input: w-full px-4 py-3 border-2 border-gray-200 rounded-xl focus:border-primary-500 focus:outline-none peer transition-colors, label: absolute left-4 top-1/2 -translate-y-1/2 text-gray-400 pointer-events-none peer-focus:top-0 peer-focus:text-xs peer-focus:text-primary-500 peer-focus:bg-white peer-focus:px-1 transition-all","Modern forms, signups",Floating label effect
34,Form,Search Bar,"form, search, input, modern","<form class='search-bar'><svg></svg><input placeholder='Search...'/><kbd>⌘K</kbd></form>","flex items-center gap-3 bg-gray-100 dark:bg-gray-800 rounded-xl px-4 py-3 focus-within:ring-2 ring-primary-500, svg: w-5 h-5 text-gray-400, input: flex-1 bg-transparent focus:outline-none, kbd: text-xs text-gray-400 bg-gray-200 dark:bg-gray-700 px-2 py-1 rounded","Search functionality, command palette",Add keyboard shortcut
35,Toast,Success,"toast, notification, success, feedback","<div class='toast success'><svg></svg><div><strong>Success!</strong><p>Message</p></div><button>×</button></div>","fixed bottom-4 right-4 flex items-center gap-3 bg-white dark:bg-gray-800 rounded-xl p-4 shadow-lg border-l-4 border-green-500, svg: w-6 h-6 text-green-500","Success feedback, confirmations",Auto-dismiss after 3-5s
36,Toast,Error,"toast, notification, error, feedback","<div class='toast error'><svg></svg><div><strong>Error!</strong><p>Message</p></div><button>×</button></div>","fixed bottom-4 right-4 flex items-center gap-3 bg-white dark:bg-gray-800 rounded-xl p-4 shadow-lg border-l-4 border-red-500, svg: w-6 h-6 text-red-500","Error feedback, validation",Require manual dismiss for errors
37,Badge,Status,"badge, status, indicator, small","<span class='badge success'>Active</span>","inline-flex items-center gap-1 px-2 py-0.5 text-xs font-medium rounded-full, success: bg-green-100 text-green-700, warning: bg-yellow-100 text-yellow-700, error: bg-red-100 text-red-700","Status indicators, tags",Add dot indicator if needed
38,Skeleton,Card,"skeleton, loading, placeholder","<div class='skeleton-card'><div class='skeleton-image'></div><div class='skeleton-text'></div><div class='skeleton-text short'></div></div>","skeleton-card: bg-white dark:bg-gray-800 rounded-xl p-4 animate-pulse, skeleton-image: h-40 bg-gray-200 dark:bg-gray-700 rounded-lg mb-4, skeleton-text: h-4 bg-gray-200 dark:bg-gray-700 rounded mb-2, short: w-2/3","Loading states, placeholders",Match actual content layout
39,Avatar,Group,"avatar, group, stack, users","<div class='avatar-group'><img class='avatar'/><img class='avatar'/><span class='more'>+5</span></div>","flex -space-x-3, avatar: w-10 h-10 rounded-full border-2 border-white dark:border-gray-900 object-cover, more: w-10 h-10 rounded-full bg-gray-200 dark:bg-gray-700 flex items-center justify-center text-sm font-medium","User lists, collaborators",Show first 3-4 avatars
40,Tabs,Underline,"tabs, navigation, underline","<div class='tabs'><button class='tab active'>Tab 1</button><button class='tab'>Tab 2</button></div>","flex border-b border-gray-200 dark:border-gray-700, tab: px-4 py-2 font-medium text-gray-500 hover:text-gray-700 border-b-2 border-transparent -mb-px transition-colors, active: text-primary-500 border-primary-500","Content tabs, settings",Simple and clean
41,Tabs,Pills,"tabs, navigation, pills, buttons","<div class='tabs'><button class='tab active'>Tab 1</button><button class='tab'>Tab 2</button></div>","inline-flex p-1 bg-gray-100 dark:bg-gray-800 rounded-xl, tab: px-4 py-2 rounded-lg font-medium text-gray-500 transition-all, active: bg-white dark:bg-gray-700 text-gray-900 dark:text-white shadow-sm","Filters, view toggles",Modern pill style
42,Dropdown,Simple,"dropdown, menu, select","<div class='dropdown'><button class='trigger'>Select<svg></svg></button><div class='menu'><a class='item'>Option 1</a></div></div>","relative, trigger: flex items-center gap-2 px-4 py-2 bg-white dark:bg-gray-800 border border-gray-200 rounded-xl, menu: absolute top-full mt-2 w-full bg-white dark:bg-gray-800 rounded-xl shadow-lg border border-gray-200 py-2 opacity-0 invisible group-focus-within:opacity-100 group-focus-within:visible transition-all, item: block px-4 py-2 hover:bg-gray-50 dark:hover:bg-gray-700","Selects, action menus",Use group focus for toggle
43,Progress,Bar,"progress, loading, bar","<div class='progress'><div class='bar' style='width: 60%'></div></div>","h-2 bg-gray-200 dark:bg-gray-700 rounded-full overflow-hidden, bar: h-full bg-gradient-to-r from-primary-500 to-primary-400 rounded-full transition-all duration-500","Progress tracking, loading",Animate width changes
44,Progress,Circular,"progress, circular, ring","<svg class='progress-ring'><circle class='bg'/><circle class='progress'/></svg>","w-20 h-20, circle: fill-none stroke-width-4, bg: stroke-gray-200 dark:stroke-gray-700, progress: stroke-primary-500 stroke-linecap-round","Stats, achievements, loading",Use stroke-dasharray for %
45,Breadcrumb,Simple,"breadcrumb, navigation, path","<nav class='breadcrumb'><a>Home</a><span>/</span><a>Products</a><span>/</span><span>Current</span></nav>","flex items-center gap-2 text-sm text-gray-500, a: hover:text-primary-500 transition-colors, span:last-child: text-gray-900 dark:text-white font-medium","Navigation context, deep pages",Show path clearly
46,Pagination,Pages,"pagination, pages, navigation","<nav class='pagination'><button>←</button><button class='page'>1</button><button class='page active'>2</button><span>...</span><button class='page'>10</button><button>→</button></nav>","flex items-center gap-1, button: w-10 h-10 rounded-lg hover:bg-gray-100 dark:hover:bg-gray-800 transition-colors, active: bg-primary-500 text-white hover:bg-primary-600","Lists, tables, search results",Show current context
47,Tooltip,Simple,"tooltip, hint, help","<div class='tooltip-wrapper'><button>Hover me</button><div class='tooltip'>Tooltip text</div></div>","group relative, tooltip: absolute bottom-full left-1/2 -translate-x-1/2 mb-2 px-3 py-1 bg-gray-900 text-white text-sm rounded-lg opacity-0 invisible group-hover:opacity-100 group-hover:visible transition-all whitespace-nowrap","Help text, abbreviations",Add arrow with ::after
48,Chip,Removable,"chip, tag, removable","<span class='chip'>Tag<button>×</button></span>","inline-flex items-center gap-1 px-3 py-1 bg-gray-100 dark:bg-gray-800 rounded-full text-sm, button: ml-1 hover:text-red-500 transition-colors","Tags, filters, selections",For removable items
49,Empty State,No Data,"empty, state, placeholder, no-data","<div class='empty-state'><svg class='icon'></svg><h3>No data found</h3><p>Description</p><button>Action</button></div>","text-center py-16, icon: w-16 h-16 mx-auto mb-4 text-gray-300, h3: text-xl font-semibold mb-2, p: text-gray-500 mb-6","Empty lists, search results",Provide clear next action
50,Divider,With Text,"divider, separator, text","<div class='divider'><span>Or continue with</span></div>","flex items-center gap-4 text-gray-400, span: before:content-[''] before:flex-1 before:h-px before:bg-gray-200 after:content-[''] after:flex-1 after:h-px after:bg-gray-200 flex-1 flex items-center gap-4 text-sm","Form dividers, section breaks",Alternative: use fieldset/legend
