STT,Layout,Type,Keywords,Structure,Tailwind Grid/Flex,Responsive,Best For,Notes
1,Single Column,Page,"single, column, simple","header + main + footer","flex flex-col min-h-screen, main: flex-1 max-w-3xl mx-auto px-4","Same all sizes",Blogs articles docs,Simple and readable
2,Two Column Sidebar Left,Page,"sidebar, left, dashboard","aside + main","flex, aside: w-64 shrink-0, main: flex-1","md:flex, mobile: stacked",Dashboards admin,Fixed sidebar width
3,Two Column Sidebar Right,Page,"sidebar, right, content","main + aside","flex, main: flex-1, aside: w-80 shrink-0","lg:flex, mobile: hidden",Blogs with TOC,Sticky sidebar
4,Three Column,Page,"three, columns, complex","left-sidebar + main + right-sidebar","grid grid-cols-12, left: col-span-2, main: col-span-8, right: col-span-2","xl only, stack on smaller",Enterprise dashboards,Complex layouts
5,Holy Grail,Page,"holy, grail, classic","header + (sidebar + main + sidebar) + footer","flex flex-col, middle: flex flex-1","Responsive sidebars",Traditional sites,Classic web layout
6,Header Hero Content,Landing,"hero, centric, landing","fixed-header + full-hero + content-sections + footer","","Hero 100vh, sections stack",Landing pages,Scroll-based
7,Split Screen,Page,"split, 50-50, dual","left-panel + right-panel","grid md:grid-cols-2 min-h-screen","Stack on mobile",Auth pages comparisons,Equal halves
8,Card Grid Auto,Grid,"grid, auto, responsive","container with cards","grid grid-cols-1 sm:grid-cols-2 lg:grid-cols-3 xl:grid-cols-4 gap-6","Auto columns",Product grids portfolios,Auto-fill preferred
9,Card Grid Fixed,Grid,"grid, fixed, columns","container with cards","grid grid-cols-3 gap-6","Fixed columns adjust gap",Dashboards,Controlled layout
10,Masonry,Grid,"masonry, pinterest","multi-column with varied heights","columns-2 md:columns-3 lg:columns-4 gap-4, cards: break-inside-avoid mb-4","Columns adjust",Image galleries,CSS columns or JS
11,Bento Grid,Grid,"bento, apple, varied","grid with varying spans","grid grid-cols-4 gap-4, items vary col-span/row-span","Simplify on mobile",Feature showcases,Apple-style
12,Feature Grid 2x2,Grid,"features, 2x2","4 feature cards in grid","grid grid-cols-1 md:grid-cols-2 gap-8","2 cols on md+",Feature sections,Balanced layout
13,Feature Grid 3x1,Grid,"features, 3x1","3 feature cards in row","grid grid-cols-1 md:grid-cols-3 gap-8","3 cols on md+",Benefits icons,Common pattern
14,Feature Grid 4x1,Grid,"features, 4x1","4 feature cards in row","grid grid-cols-2 lg:grid-cols-4 gap-6","4 on lg, 2 on sm",Stats features,Tight spacing
15,Alternating Rows,Section,"alternating, zigzag","image-left then image-right repeating","flex flex-col md:flex-row gap-8, odd: md:flex-row-reverse","Stack on mobile",Features about,Visual variety
16,Centered Content,Section,"centered, content","centered container with max-width","max-w-3xl mx-auto px-4 text-center","Same all sizes",Heroes CTAs,Focus on text
17,Wide Container,Section,"wide, full","full-width with padding","max-w-7xl mx-auto px-4 sm:px-6 lg:px-8","Responsive padding",General sections,Standard container
18,Full Bleed,Section,"full, bleed, edge","edge-to-edge content","w-full px-0","No padding",Images banners,Background images
19,Offset Grid,Grid,"offset, staggered","cards with vertical offset","grid grid-cols-3, middle-col: mt-8 or mt-12","Reduce on mobile",Testimonials team,Visual interest
20,Timeline Vertical,Section,"timeline, vertical","line with alternating items","relative before:absolute before:left-1/2 before:h-full before:w-0.5","Left-only on mobile",About history,Use left-aligned mobile
21,Timeline Horizontal,Section,"timeline, horizontal","horizontal line with items above/below","flex overflow-x-auto gap-8, items relative","Scroll horizontal",Process steps,Horizontal scroll
22,Sticky Sidebar,Pattern,"sticky, scroll, sidebar","main scrolls, sidebar sticks","flex, sidebar: sticky top-24 h-fit, main: flex-1","Hide sidebar mobile",Docs TOC,Set top offset
23,Sticky Header,Pattern,"sticky, header, nav","header sticks on scroll","sticky top-0 z-50","Always sticky",Most sites,Add background on scroll
24,Fixed Header,Pattern,"fixed, header, floating","header floats over content","fixed top-0 left-0 right-0 z-50","Always fixed",Modern sites,Account for height
25,Floating Nav,Pattern,"floating, nav, glass","navbar with margins","fixed top-4 left-4 right-4 z-50 rounded-2xl","Reduce margin mobile",Modern landing,Glass effect
26,Bottom Nav Mobile,Pattern,"bottom, nav, mobile","bottom navigation bar","fixed bottom-0 left-0 right-0 md:hidden","Mobile only",Mobile apps,5 items max
27,Drawer Left,Pattern,"drawer, left, mobile","off-canvas left panel","fixed inset-y-0 left-0 w-64 transform -translate-x-full open:translate-x-0","Mobile menu",Mobile navigation,Transition transform
28,Drawer Right,Pattern,"drawer, right, panel","off-canvas right panel","fixed inset-y-0 right-0 w-80 transform translate-x-full open:translate-x-0","Filters cart,Settings panels",Slide in
29,Modal Centered,Pattern,"modal, centered, popup","centered overlay modal","fixed inset-0 flex items-center justify-center p-4","Same all sizes",Dialogs alerts,Backdrop blur
30,Modal Bottom Sheet,Pattern,"modal, bottom, sheet","bottom slide-up modal","fixed inset-x-0 bottom-0 rounded-t-2xl","Mobile preference",Mobile actions,Drag to dismiss
31,Tabs Horizontal,Pattern,"tabs, horizontal","horizontal tab navigation","flex border-b, content below","Scroll on mobile",Settings content,Underline active
32,Tabs Vertical,Pattern,"tabs, vertical, sidebar","vertical tab nav + content","flex, nav: w-48 border-r, content: flex-1","Horizontal mobile",Settings complex,Desktop pattern
33,Accordion Stack,Pattern,"accordion, expandable","stacked collapsible sections","flex flex-col divide-y","Same all sizes",FAQ settings,Single or multi open
34,Card Stack,Pattern,"cards, stack, overlap","overlapping cards","relative, cards: absolute with offsets","Reduce offset mobile",Pricing featured,Hover expand
35,Scroll Snap,Pattern,"scroll, snap, carousel","horizontal scroll with snap","flex overflow-x-auto snap-x snap-mandatory gap-4, items: snap-center","Touch friendly",Carousels,Native CSS
36,Infinite Scroll,Pattern,"infinite, scroll, feed","content loads on scroll","flex flex-col gap-4 + intersection observer","Same pattern",Feeds lists,JS required
37,Pagination,Pattern,"pagination, pages","page navigation below grid","flex justify-center gap-2 mt-8","Same pattern",Search results,Show context
38,Load More,Pattern,"load, more, button","button to load more items","flex flex-col items-center mt-8","Same pattern",Galleries,Alternative to pagination
39,Hero Full Height,Hero,"hero, full, 100vh","full viewport hero","min-h-screen flex items-center","Same heights",Landing pages,Consider mobile vh
40,Hero Half Height,Hero,"hero, half, 50vh","half viewport hero","min-h-[50vh] md:min-h-[60vh] flex items-center","Adjust per size",Inner pages,Content above fold
41,Hero Split,Hero,"hero, split, image","text + image side by side","grid md:grid-cols-2 gap-8 items-center min-h-screen","Stack on mobile",Product pages,Image right usually
42,Hero Video,Hero,"hero, video, background","video background with overlay","relative min-h-screen, video: absolute inset-0 object-cover","Same pattern",Premium sites,Optimize video
43,Hero Gradient,Hero,"hero, gradient, animated","animated gradient background","min-h-screen bg-gradient-to-br animate-gradient","Same pattern",Modern landing,CSS animation
44,Card Hover Expand,Pattern,"card, hover, expand","card expands on hover","aspect-square hover:scale-105 transition-transform","Reduce effect touch",Galleries,Touch: on tap
45,Mega Menu,Pattern,"mega, menu, dropdown","full-width dropdown menu","absolute left-0 right-0 top-full bg-white shadow-xl","Hide on mobile",Enterprise nav,Grid inside
